Nombre: user1, RUT: 2024242424, Correo: User1@mail.com, Clave: user123, TipoUsuario: Medico, Area: null, PrimerInicio: false
Nombre: user2, RUT: 2020407801, Correo: User2@mail.com, Clave: user123, TipoUsuario: Medico, Area: null, PrimerInicio: false
Nombre: user3, RUT: 2020407013, Correo: User3@mail.com, Clave: user123, TipoUsuario: Medico, Area: null, PrimerInicio: true
Nombre: user4, RUT: 2021407003, Correo: User4@mail.com, Clave: user123, TipoUsuario: Medico, Area: null, PrimerInicio: true
Nombre: user5, RUT: 2021407501, Correo: User5@mail.com, Clave: user123, TipoUsuario: Medico, Area: null, PrimerInicio: true
Nombre: user6, RUT: 2021407023, Correo: User6@mail.com, Clave: user123, TipoUsuario: Medico, Area: null, PrimerInicio: true
Nombre: user7, RUT: 2021407011, Correo: User7@mail.com, Clave: user123, TipoUsuario: Medico, Area: null, PrimerInicio: true
Nombre: user8, RUT: 2019407801, Correo: User8@mail.com, Clave: user123, TipoUsuario: Medico, Area: null, PrimerInicio: true
Nombre: user9, RUT: 2019407801, Correo: User9@mail.com, Clave: user123, TipoUsuario: Medico, Area: null, PrimerInicio: true
Nombre: user10, RUT: 2019407031, Correo: User10@mail.com, Clave: user123, TipoUsuario: Medico, Area: null, PrimerInicio: true
Nombre: user11, RUT: 2021407009, Correo: User11@mail.com, Clave: user123, TipoUsuario: Medico, Area: null, PrimerInicio: true
Nombre: user12, RUT: 2017407017, Correo: User12@mail.com, Clave: user123, TipoUsuario: Medico, Area: null, PrimerInicio: true
Nombre: user13, RUT: 2017407009, Correo: User13@mail.com, Clave: user123, TipoUsuario: Medico, Area: null, PrimerInicio: true
Nombre: user14, RUT: 2021407005, Correo: User14@mail.com, Clave: user123, TipoUsuario: Medico, Area: null, PrimerInicio: true
Nombre: user15, RUT: 2020407031, Correo: User15@mail.com, Clave: user123, TipoUsuario: Medico, Area: null, PrimerInicio: true
Nombre: user16, RUT: 2019407023, Correo: User16@mail.com, Clave: user123, TipoUsuario: Medico, Area: null, PrimerInicio: true
